Date,Average Digested Growth
1986-08-01,1
1986-09-01,1.833333333
1986-10-01,2.666666667
1986-11-01,3.5
1986-12-01,4.333333333
1987-01-01,5.166666667
1987-02-01,6
1987-03-01,6.5
1987-04-01,7.666666667
1987-05-01,8.5
1987-06-01,9
1987-07-01,9.833333333
1987-08-01,11
1987-09-01,11.16666667
1987-10-01,11
1987-11-01,10.5
1987-12-01,10.33333333
1988-01-01,9.5
1988-02-01,9.333333333
1988-03-01,8.5
1988-04-01,7.666666667
1988-05-01,6.833333333
1988-06-01,6
1988-07-01,5.5
1988-08-01,5
1988-09-01,4.166666667
1988-10-01,3.333333333
1988-11-01,2.5
1988-12-01,2.333333333
1989-01-01,1.833333333
1989-02-01,0.6666666667
1989-03-01,-0.1666666667
1989-04-01,-1
1989-05-01,-1.833333333
1989-06-01,-2.666666667
1989-07-01,-3.5
1989-08-01,-4.333333333
1989-09-01,-5.166666667
1989-10-01,-6
1989-11-01,-6.5
1989-12-01,-7.333333333
1990-01-01,-8.166666667
1990-02-01,-8.666666667
1990-03-01,-8.5
1990-04-01,-8
1990-05-01,-7.5
1990-06-01,-7
1990-07-01,-6.833333333
1990-08-01,-6.666666667
1990-09-01,-7.166666667
1990-10-01,-7.666666667
1990-11-01,-8.166666667
1990-12-01,-8.666666667
1991-01-01,-9.166666667
1991-02-01,-10.33333333
1991-03-01,-10.83333333
1991-04-01,-11.66666667
1991-05-01,-12.83333333
1991-06-01,-13.66666667
1991-07-01,-14.5
1991-08-01,-15.33333333
1991-09-01,-16.16666667
1991-10-01,-17
1991-11-01,-17.83333333
1991-12-01,-18.33333333
1992-01-01,-18.83333333
1992-02-01,-19
1992-03-01,-19.5
1992-04-01,-19
1992-05-01,-18.5
1992-06-01,-18.33333333
1992-07-01,-17.83333333
1992-08-01,-17.33333333
1992-09-01,-16.16666667
1992-10-01,-15.33333333
1992-11-01,-14.5
1992-12-01,-13.66666667
1993-01-01,-12.83333333
1993-02-01,-12.33333333
1993-03-01,-11.83333333
1993-04-01,-12
1993-05-01,-12.5
1993-06-01,-13
1993-07-01,-13.5
1993-08-01,-13.33333333
1993-09-01,-13.83333333
1993-10-01,-13
1993-11-01,-12.5
1993-12-01,-12
1994-01-01,-11.16666667
1994-02-01,-10.33333333
1994-03-01,-9.5
1994-04-01,-9
1994-05-01,-8.166666667
1994-06-01,-7.333333333
1994-07-01,-6.166666667
1994-08-01,-5.333333333
1994-09-01,-4.833333333
1994-10-01,-3.666666667
1994-11-01,-2.833333333
1994-12-01,-2.333333333
1995-01-01,-1.833333333
1995-02-01,-1.333333333
1995-03-01,-1.166666667
1995-04-01,-0.3333333333
1995-05-01,0.1666666667
1995-06-01,1
1995-07-01,1.833333333
1995-08-01,2.666666667
1995-09-01,2.5
1995-10-01,2.666666667
1995-11-01,2.166666667
1995-12-01,3
1996-01-01,3.5
1996-02-01,4.333333333
1996-03-01,4.833333333
1996-04-01,6
1996-05-01,6.833333333
1996-06-01,7.666666667
1996-07-01,8.5
1996-08-01,9.333333333
1996-09-01,10.16666667
1996-10-01,11
1996-11-01,11.83333333
1996-12-01,12.66666667
1997-01-01,13.5
1997-02-01,14
1997-03-01,14.83333333
1997-04-01,16
1997-05-01,16.5
1997-06-01,17.66666667
1997-07-01,18.5
1997-08-01,19.33333333
1997-09-01,19.83333333
1997-10-01,20.33333333
1997-11-01,20.16666667
1997-12-01,19.66666667
1998-01-01,19.5
1998-02-01,19
